Combined_Key,Last_Update,Confirmed,Deaths
Liechtenstein,2022-04-21 04:20:46,17027,84
Lithuania,2022-04-21 04:20:46,1051249,9033
Luxembourg,2022-04-21 04:20:46,231669,1056
MS Zaandam,2022-04-21 04:20:46,9,2
Madagascar,2022-04-21 04:20:46,64121,1391
Malawi,2022-04-21 04:20:46,85735,2632
"Johor, Malaysia",2022-04-21 04:20:46,380942,4497
"Kedah, Malaysia",2022-04-21 04:20:46,297680,2615
"Kelantan, Malaysia",2022-04-21 04:20:46,247112,1419
"Melaka, Malaysia",2022-04-21 04:20:46,120938,1110
"Negeri Sembilan, Malaysia",2022-04-21 04:20:46,199492,1471
"Pahang, Malaysia",2022-04-21 04:20:46,170202,968
"Perak, Malaysia",2022-04-21 04:20:46,198691,1905
"Perlis, Malaysia",2022-04-21 04:20:46,17189,182
"Pulau Pinang, Malaysia",2022-04-21 04:20:46,275534,1976
"Sabah, Malaysia",2022-04-21 04:20:46,370132,3120
"Sarawak, Malaysia",2022-04-21 04:20:46,304281,1725
"Selangor, Malaysia",2022-04-21 04:20:46,1318085,10607
"Terengganu, Malaysia",2022-04-21 04:20:46,125360,859
"Unknown, Malaysia",2022-04-21 04:20:46,0,0
"W.P. Kuala Lumpur, Malaysia",2022-04-21 04:20:46,343469,2814
"W.P. Labuan, Malaysia",2022-04-21 04:20:46,21251,155
"W.P. Putrajaya, Malaysia",2022-04-21 04:20:46,18844,42
Maldives,2022-04-21 04:20:46,178883,298
Mali,2022-04-21 04:20:46,30691,730
Malta,2022-04-21 04:20:46,89607,679
Marshall Islands,2022-04-21 04:20:46,15,0
Mauritania,2022-04-21 04:20:46,58683,982
Mauritius,2022-04-21 04:20:46,220344,990
"Aguascalientes, Mexico",2022-04-21 04:20:46,65584,3498
"Baja California, Mexico",2022-04-21 04:20:46,133935,12238
"Baja California Sur, Mexico",2022-04-21 04:20:46,103595,2684
"Campeche, Mexico",2022-04-21 04:20:46,34044,2240
"Chiapas, Mexico",2022-04-21 04:20:46,38698,2409
"Chihuahua, Mexico",2022-04-21 04:20:46,131338,9950
"Ciudad de Mexico, Mexico",2022-04-21 04:20:46,1394311,42755
"Coahuila, Mexico",2022-04-21 04:20:46,145452,8783
"Colima, Mexico",2022-04-21 04:20:46,54694,2198
"Durango, Mexico",2022-04-21 04:20:46,68185,3600
"Guanajuato, Mexico",2022-04-21 04:20:46,281953,14877
"Guerrero, Mexico",2022-04-21 04:20:46,98372,6755
"Hidalgo, Mexico",2022-04-21 04:20:46,93240,8401
"Jalisco, Mexico",2022-04-21 04:20:46,245142,19567
"Mexico, Mexico",2022-04-21 04:20:46,571356,47177
"Michoacan, Mexico",2022-04-21 04:20:46,94065,8822
"Morelos, Mexico",2022-04-21 04:20:46,70049,5267
"Nayarit, Mexico",2022-04-21 04:20:46,58142,3196
"Nuevo Leon, Mexico",2022-04-21 04:20:46,319416,15008
"Oaxaca, Mexico",2022-04-21 04:20:46,119693,6165
"Puebla, Mexico",2022-04-21 04:20:46,169418,16453
"Queretaro, Mexico",2022-04-21 04:20:46,141925,6197
"Quintana Roo, Mexico",2022-04-21 04:20:46,91784,4380
"San Luis Potosi, Mexico",2022-04-21 04:20:46,185914,7475
"Sinaloa, Mexico",2022-04-21 04:20:46,121788,9666
"Sonora, Mexico",2022-04-21 04:20:46,165489,10104
"Tabasco, Mexico",2022-04-21 04:20:46,189739,6041
"Tamaulipas, Mexico",2022-04-21 04:20:46,144267,7980
"Tlaxcala, Mexico",2022-04-21 04:20:46,43775,3073
"Unknown, Mexico",2022-04-21 04:20:46,0,0
"Veracruz, Mexico",2022-04-21 04:20:46,178550,16391
"Yucatan, Mexico",2022-04-21 04:20:46,108929,6807
"Zacatecas, Mexico",2022-04-21 04:20:46,67718,3847
Micronesia,2022-04-21 04:20:46,1,0
Moldova,2022-04-21 04:20:46,516699,11487
Monaco,2022-04-21 04:20:46,11520,56
Mongolia,2022-04-21 04:20:46,920291,2177
Montenegro,2022-04-21 04:20:46,234405,2710
Morocco,2022-04-21 04:20:46,1164507,16064
Mozambique,2022-04-21 04:20:46,225345,2201
Namibia,2022-04-21 04:20:46,158112,4022
Nepal,2022-04-21 04:20:46,978693,11951
"Aruba, Netherlands",2022-04-21 04:20:46,34446,271
"Bonaire, Sint Eustatius and Saba, Netherlands",2022-04-21 04:20:46,9591,34
"Curacao, Netherlands",2022-04-21 04:20:46,41729,271
"Drenthe, Netherlands",2022-04-21 04:20:46,201343,448
"Flevoland, Netherlands",2022-04-21 04:20:46,182476,331
"Friesland, Netherlands",2022-04-21 04:20:46,276490,614
"Gelderland, Netherlands",2022-04-21 04:20:46,980193,2786
"Groningen, Netherlands",2022-04-21 04:20:46,246913,352
"Limburg, Netherlands",2022-04-21 04:20:46,526799,2157
"Noord-Brabant, Netherlands",2022-04-21 04:20:46,1230818,3690
"Noord-Holland, Netherlands",2022-04-21 04:20:46,1312840,3354
"Overijssel, Netherlands",2022-04-21 04:20:46,562979,1407
"Sint Maarten, Netherlands",2022-04-21 04:20:46,9933,86
"Unknown, Netherlands",2022-02-28 23:21:00,84139,21
"Utrecht, Netherlands",2022-04-21 04:20:46,659788,1529
"Zeeland, Netherlands",2022-04-21 04:20:46,167317,386
"Zuid-Holland, Netherlands",2022-04-21 04:20:46,1681991,5124
"Cook Islands, New Zealand",2022-04-21 04:20:46,4404,0
New Zealand,2022-04-21 04:20:46,861118,600
Nicaragua,2022-04-21 04:20:46,18491,233
Niger,2022-04-21 04:20:46,8903,308
Nigeria,2022-04-21 04:20:46,255670,3143
North Macedonia,2022-04-21 04:20:46,308878,9265
Norway,2022-04-21 04:20:46,1421691,2871
Oman,2022-04-21 04:20:46,388956,4257
"Azad Jammu and Kashmir, Pakistan",2022-04-21 04:20:46,43306,792
"Balochistan, Pakistan",2022-04-21 04:20:46,35483,378
"Gilgit-Baltistan, Pakistan",2022-04-21 04:20:46,11737,191
"Islamabad, Pakistan",2022-04-21 04:20:46,135165,1023
"Khyber Pakhtunkhwa, Pakistan",2022-04-21 04:20:46,219411,6323
"Punjab, Pakistan",2022-04-21 04:20:46,505810,13560
"Sindh, Pakistan",2022-04-21 04:20:46,576677,8101
